Image_Name,First_order_moment,,,Second_order_moment,,,Third_order_moment,,,class
 'Clean_water\\2022-11-02 (68).png',0.1879,1.0173,1.3565,0.058,0.0521,0.0588,0.0038,0.0082,0.0086,Clean
 'Clean_water\\2022-11-02 (69).png',0.7383,1.5007,1.6235,0.6453,0.2644,0.2399,0.005,0.0012,0.002,Clean
 'Clean_water\\2022-11-02 (70).png',0.202,1.5446,1.4994,0.2736,0.0934,0.083,0.0154,0.005,0.0024,Clean
 'Clean_water\\2022-11-02 (71).png',0.4472,1.2659,1.2635,0.4971,0.3006,0.2816,0.0104,0.0078,0.0087,Clean
 'Clean_water\\2022-11-02 (72).png',0.1923,1.5844,1.5561,0.2844,0.0963,0.0745,0.0133,0.0031,0.0056,Clean
 'Clean_water\\2022-11-02 (75).png',0.9594,1.6342,2.0241,0.5016,0.1062,0.0847,-0.0119,-0.0103,-0.0043,Clean
 'Clean_water\\2022-11-02 (78).png',0.0115,0.7648,1.3467,0.0166,0.12,0.0775,0.0179,0.0078,0.0071,Clean
 'Clean_water\\2022-11-02 (79).png',0.4455,1.7898,1.8677,0.4485,0.2364,0.2334,0.0073,-0.0061,-0.0068,Clean
 'Clean_water\\2022-11-02 (8).png',0.5962,1.6189,1.9562,0.5702,0.3159,0.2558,0.0087,0.0075,0.0047,Clean
 'Clean_water\\2022-11-02 (80).png',0.0135,1.6881,1.9284,0.0292,0.1009,0.1133,0.0226,-0.0062,-0.0052,Clean
 'Clean_water\\2022-11-02 (84).png',0.0075,1.5926,1.6714,0.0393,0.1367,0.1261,0.0298,-0.0014,0.001,Clean
 'Clean_water\\2022-11-02 (85).png',0.5773,1.6361,1.7846,0.2346,0.1422,0.1347,-0.0025,-0.0075,-0.0066,Clean
 'Clean_water\\2022-11-02 (86).png',0.0802,1.1252,1.3025,0.1471,0.1737,0.1597,0.0231,0.0038,0.0057,Clean
 'Clean_water\\2022-11-02 (87).png',0.6318,2.1317,2.1211,0.6118,0.2376,0.1863,0.0099,-0.0014,-0.0018,Clean
 'Clean_water\\2022-11-02 (88).png',0.0136,0.991,1.4645,0.0254,0.1546,0.1308,0.0142,0.0065,0.0043,Clean
 'Clean_water\\2022-11-02 (89).png',0.0762,0.9259,1.3621,0.0416,0.1674,0.1652,0.0013,-0.0044,-0.0108,Clean
 'Clean_water\\2022-11-02 (9).png',1.9898,2.1783,2.0612,0.139,0.0983,0.1033,0.0014,0.0023,0.0021,Clean
 'Clean_water\\2022-11-02 (90).png',0.129,2.1287,2.1644,0.0386,0.0512,0.0606,0.0011,-0.0008,-0.001,Clean
 'Clean_water\\2022-11-02 (91).png',0.1918,1.0894,1.6111,0.0857,0.204,0.2359,0.0032,-0.0074,-0.0085,Clean
 'Clean_water\\2022-11-02 (93).png',1.9638,2.2504,2.2361,0.212,0.0969,0.1008,-0.0044,-0.0045,-0.004,Clean
 'Clean_water\\2022-11-02 (94).png',0.3024,1.9031,1.9522,0.2867,0.2008,0.2015,0.0122,0.0006,0.0008,Clean
 'Clean_water\\2022-11-12 (100).png',0.1021,1.695,1.8646,0.1743,0.0992,0.0805,0.0224,0.004,0.0024,Clean
 'Clean_water\\2022-11-12 (101).png',0.0141,1.1495,1.4926,0.0155,0.0846,0.075,0.0109,0.0016,0.0028,Clean
 'Clean_water\\2022-11-12 (102).png',0.2208,1.1567,1.2037,0.2369,0.1494,0.1583,0.0122,0.0127,0.0129,Clean
 'Clean_water\\2022-11-12 (103).png',0.6812,1.5794,1.5599,0.0609,0.0276,0.0282,-0.0013,-0.0013,-0.0025,Clean
 'Clean_water\\2022-11-12 (104).png',0.4303,1.4143,1.6859,0.3752,0.0975,0.0917,0.0034,-0.002,-0.0019,Clean
 'Clean_water\\2022-11-12 (105).png',0.6874,1.9349,2.0491,0.221,0.0989,0.1015,-0.0045,-0.0016,-0.0015,Clean
 'Clean_water\\2022-11-12 (106).png',0.1594,1.6435,2.0122,0.2459,0.0583,0.085,0.0203,0.0023,0.0016,Clean
 'Clean_water\\2022-11-12 (107).png',0.0603,1.6304,1.8057,0.1188,0.093,0.0775,0.0261,0.0028,0.0003,Clean
 'Clean_water\\2022-11-12 (108).png',0.0014,0.9352,1.854,0.0039,0.0759,0.0605,0.0288,0.0071,0.0072,Clean
 'Clean_water\\2022-11-12 (109).png',0.7345,1.9319,2.0146,0.1854,0.0898,0.0732,-0.006,-0.0014,-0.0036,Clean
 'Clean_water\\2022-11-12 (13).png',0.7758,1.6126,1.8582,0.405,0.2223,0.2353,0.0036,0.0031,0.0044,Clean
 'Clean_water\\2022-11-12 (14).png',1.1313,1.752,1.5057,0.2391,0.121,0.1124,0.0023,0.0038,0.0047,Clean
 'Clean_water\\2022-11-12 (15).png',0.6873,1.7809,1.6013,0.4668,0.1898,0.1663,0.0096,-0.0038,-0.0052,Clean
 'Clean_water\\2022-11-12 (16).png',0.3957,1.6989,2.0889,0.4239,0.126,0.099,0.0051,0.002,0.0021,Clean
 'Clean_water\\2022-11-12 (17).png',0.0105,0.932,1.0127,0.0231,0.1099,0.1582,0.0173,0.0066,0.0049,Clean
 'Clean_water\\2022-11-12 (18).png',0.017,1.2475,1.6882,0.0362,0.1021,0.1276,0.0141,-0.0002,-0.0013,Clean
 'Clean_water\\2022-11-12 (19).png',0.0059,1.4396,1.3263,0.0087,0.1069,0.0461,0.0147,0.0024,0.0004,Clean
 'Clean_water\\2022-11-12 (2).png',1.4211,2.0392,2.2074,0.2066,0.1438,0.1303,0.0011,-0.0012,-0.0017,Clean
 'Clean_water\\2022-11-12 (20).png',0.2279,0.9774,1.0966,0.2105,0.2278,0.2081,0.0123,0.0021,0.005,Clean
 'Clean_water\\2022-11-12 (21).png',0.0054,1.2082,1.542,0.0073,0.0956,0.1383,0.0112,-0.0004,0.0007,Clean
 'Clean_water\\2022-11-12 (22).png',0.0059,1.259,1.4542,0.0117,0.0823,0.1141,0.0148,-0.0014,0.0008,Clean
 'Clean_water\\2022-11-12 (23).png',0.0066,1.4199,1.8191,0.0099,0.0429,0.029,0.0169,-0.0047,-0.0043,Clean
 'Clean_water\\2022-11-12 (24).png',0.0091,1.6104,1.7715,0.015,0.0905,0.0673,0.0197,-0.0002,-0.0061,Clean
 'Clean_water\\2022-11-12 (26).png',0.0353,1.6634,1.6046,0.0996,0.1837,0.0825,0.0345,-0.0009,0.0002,Clean
 'Clean_water\\2022-11-12 (27).png',0.4608,1.8239,1.5681,0.3737,0.0765,0.1017,0.0057,0.0081,0.0093,Clean
 'Clean_water\\2022-11-12 (28).png',0.008,1.5621,1.4752,0.0097,0.0971,0.1107,0.0115,-0.0003,0.0022,Clean
 'Clean_water\\2022-11-12 (29).png',2.009,2.3314,2.2801,0.2004,0.1164,0.1361,-0.0036,-0.0035,-0.0033,Clean
 'Clean_water\\2022-11-12 (30).png',0.0059,1.3,1.58,0.0096,0.1016,0.0885,0.0186,-0.0026,-0.0039,Clean
 'Clean_water\\2022-11-12 (32).png',1.3106,1.7406,2.3302,0.0851,0.0606,0.0252,-0.0003,-0.0007,-0.002,Clean
 'Clean_water\\2022-11-12 (33).png',1.15,1.8872,1.5451,0.2861,0.0647,0.076,0.0005,-0.0064,-0.002,Clean
 'Clean_water\\2022-11-12 (34).png',0.2437,1.7477,1.4783,0.3955,0.0636,0.0658,0.0101,0.0009,0.0011,Clean
 'Clean_water\\2022-11-12 (35).png',0.0625,1.3502,1.4827,0.1237,0.0799,0.0591,0.0264,-0.0015,0.0023,Clean
 'Clean_water\\2022-11-12 (36).png',1.8762,2.1681,2.2055,0.1738,0.1082,0.0973,0.0039,0.0053,0.0059,Clean
 'Clean_water\\2022-11-12 (37).png',0.8722,1.5906,2.1763,0.2891,0.2259,0.13,0.0039,0.0025,-0.0004,Clean
 'Clean_water\\2022-11-12 (38).png',1.9137,2.2837,2.3332,0.2334,0.1074,0.0829,0.0057,0.0062,0.008,Clean
 'Clean_water\\2022-11-12 (40).png',0.0212,0.8174,1.0607,0.0357,0.0497,0.0647,0.0394,0.0199,0.0139,Clean
 'Clean_water\\2022-11-12 (41).png',0.4116,1.5523,2.0719,0.2143,0.1154,0.0685,0.0106,0.012,0.0105,Clean
 'Clean_water\\2022-11-12 (42).png',0.3597,0.8636,1.0828,0.2821,0.263,0.2473,0.0049,0.0076,0.007,Clean
 'Clean_water\\2022-11-12 (43).png',0.0107,0.8062,0.891,0.0129,0.1168,0.1457,0.0123,-0.0003,0.0008,Clean
 'Clean_water\\2022-11-12 (44).png',0.888,1.6008,1.3977,0.3047,0.1296,0.143,-0.0073,-0.0051,-0.0004,Clean
 'Clean_water\\2022-11-12 (45).png',0.0411,0.9349,1.1165,0.1429,0.1892,0.1396,0.0159,0.0083,0.0083,Clean
 'Clean_water\\2022-11-12 (47).png',0.0066,1.2939,1.7154,0.0093,0.1068,0.0393,0.0116,0.0079,0.007,Clean
 'Clean_water\\2022-11-12 (48).png',0.078,1.9125,1.9638,0.1232,0.0953,0.071,0.0165,-0.002,0.0004,Clean
 'Clean_water\\2022-11-12 (51).png',0.0441,1.5729,1.8625,0.0979,0.1082,0.0851,0.0227,-0.0042,-0.0034,Clean
 'Clean_water\\2022-11-12 (52).png',0.1584,1.7333,1.6998,0.2274,0.1012,0.1222,0.0161,-0.0001,-0.0039,Clean
 'Clean_water\\2022-11-12 (54).png',0.141,0.9068,1.5542,0.1535,0.1752,0.2003,0.0116,-0.0036,-0.0063,Clean
 'Clean_water\\2022-11-12 (55).png',0.0923,0.7515,1.3508,0.1143,0.2221,0.2925,0.0155,-0.0006,-0.0029,Clean
 'Clean_water\\2022-11-12 (56).png',0.2954,0.8616,1.0048,0.2144,0.1668,0.1822,0.0065,0.0025,0.0014,Clean
 'Clean_water\\2022-11-12 (58).png',0.1578,0.9903,1.6521,0.1471,0.1537,0.1672,0.0068,-0.004,-0.007,Clean
 'Clean_water\\2022-11-12 (59).png',0.6259,1.2036,1.822,0.3137,0.2047,0.2087,-0.0056,-0.0042,-0.0042,Clean
 'Clean_water\\2022-11-12 (61).png',1.0933,1.7379,1.6127,0.1183,0.0931,0.0749,-0.0016,-0.0023,-0.0027,Clean
 'Clean_water\\2022-11-12 (62).png',0.8422,1.8369,1.8751,0.1372,0.0674,0.079,-0.0004,-0.0041,-0.0022,Clean
 'Clean_water\\2022-11-12 (63).png',0.7944,1.8113,1.9757,0.1251,0.0538,0.0429,-0.0063,0.0053,-0.0072,Clean
 'Clean_water\\2022-11-12 (64).png',0.0062,1.4422,2.0287,0.01,0.0577,0.0423,0.0183,0.0009,0.0016,Clean
 'Clean_water\\2022-11-12 (65).png',0.007,1.6342,2.0588,0.0106,0.0621,0.0544,0.0183,0.0002,-0.0022,Clean
 'Clean_water\\2022-11-12 (66).png',0.1874,1.6067,1.8947,0.1439,0.1603,0.1948,0.0057,0.0012,-0.0008,Clean
 'Clean_water\\2022-11-12 (67).png',0.0075,0.492,1.0261,0.0199,0.0932,0.1786,0.0281,0.0029,0.0041,Clean
 'Clean_water\\2022-11-12 (68).png',0.0055,0.3466,1.1283,0.0076,0.0605,0.0981,0.0112,-0.0046,-0.0073,Clean
 'Clean_water\\2022-11-12 (69).png',0.125,1.5235,1.7895,0.1052,0.1432,0.1867,0.0078,0.0019,-0.0002,Clean
